"beta","deepSplit","minModuleSize","mergeCutHeight","n_mods","effD","delta_effD_nMods","globalMedian_mod_cohesion","grey_proportion"
14,0,100,0.3,6,2.72905445120643,3.27094554879357,NA,0
14,1,20,0.15,20,3.73813716608575,16.2618628339142,NA,0
14,1,20,0.2,17,3.9387976839093,13.0612023160907,NA,0
14,1,20,0.25,15,3.90002354973856,11.0999764502614,NA,0
14,1,20,0.3,14,3.98426791357466,10.0157320864253,NA,0
14,1,30,0.15,16,3.0807329120662,12.9192670879338,NA,0
14,1,30,0.2,12,3.20123302836489,8.79876697163511,NA,0
14,1,30,0.25,10,3.32061712313918,6.67938287686082,NA,0
14,1,30,0.3,10,3.32061712313918,6.67938287686082,NA,0
14,1,40,0.15,14,2.92723153232783,11.0727684676722,0.69918528056639,0
14,1,40,0.2,10,2.9050300534989,7.0949699465011,NA,0
14,1,40,0.25,9,3.00202535346266,5.99797464653734,NA,0
14,1,40,0.3,8,2.97979868559381,5.02020131440619,NA,0
14,1,50,0.15,12,2.84542130964,9.15457869036,0.698878790695948,0
14,1,50,0.2,9,2.89257719570511,6.10742280429489,0.59159307930755,0
14,1,50,0.25,8,2.96552842001649,5.03447157998351,NA,0
14,1,50,0.3,7,2.99432910584275,4.00567089415725,NA,0
14,1,60,0.15,10,2.62703877666252,7.37296122333748,0.692076894302825,0
14,1,60,0.2,8,2.73629048880132,5.26370951119868,0.645719826987218,0
14,1,60,0.25,8,2.73629048880132,5.26370951119868,0.645719826987218,0
14,1,60,0.3,6,2.71455447826095,3.28544552173905,NA,0
14,1,70,0.15,10,2.62703877666252,7.37296122333748,0.692076894302825,0
14,1,70,0.2,8,2.73629048880132,5.26370951119868,0.645719826987218,0
14,1,70,0.25,8,2.73629048880132,5.26370951119868,0.645719826987218,0
14,1,70,0.3,6,2.71455447826095,3.28544552173905,NA,0
14,1,80,0.15,10,2.62703877666252,7.37296122333748,0.692076894302825,0
14,1,80,0.2,8,2.73629048880132,5.26370951119868,0.645719826987218,0
14,1,80,0.25,8,2.73629048880132,5.26370951119868,0.645719826987218,0
14,1,80,0.3,6,2.71455447826095,3.28544552173905,NA,0
14,1,90,0.15,10,2.63065352190699,7.36934647809301,0.71689207766481,0
14,1,90,0.2,8,2.73969960666859,5.26030039333141,0.653093325842223,0
14,1,90,0.25,7,2.79686041482268,4.20313958517732,0.620091180545183,0
14,1,90,0.3,6,2.72885274563534,3.27114725436466,NA,0
14,1,100,0.15,10,2.63065352190699,7.36934647809301,0.71689207766481,0
14,1,100,0.2,8,2.73969960666859,5.26030039333141,0.653093325842223,0
14,1,100,0.25,7,2.79686041482268,4.20313958517732,0.620091180545183,0
14,1,100,0.3,6,2.72885274563534,3.27114725436466,NA,0
14,2,20,0.15,26,3.844483354899,22.155516645101,NA,0
14,2,20,0.2,22,4.08302170353072,17.9169782964693,NA,0
14,2,20,0.25,18,4.4116253009659,13.5883746990341,NA,0
14,2,20,0.3,15,4.31993736924348,10.6800626307565,NA,0
14,2,30,0.15,21,3.66956554248816,17.3304344575118,NA,0
14,2,30,0.2,16,3.91131363103706,12.0886863689629,NA,0
14,2,30,0.25,15,3.9885336716091,11.0114663283909,NA,0
14,2,30,0.3,14,3.99047453477071,10.0095254652293,NA,0
14,2,40,0.15,19,3.65121663366043,15.3487833663396,NA,0
14,2,40,0.2,16,3.85281691572299,12.147183084277,NA,0
14,2,40,0.25,15,3.93907405543651,11.0609259445635,NA,0
14,2,40,0.3,14,4.01649735415992,9.98350264584008,NA,0
14,2,50,0.15,16,3.29837709178815,12.7016229082119,0.658298046368922,0
14,2,50,0.2,13,3.45623754776468,9.54376245223532,NA,0
14,2,50,0.25,11,3.64998957118457,7.35001042881543,NA,0
14,2,50,0.3,11,3.64998957118457,7.35001042881543,NA,0
14,2,60,0.15,13,3.10002351933207,9.89997648066793,0.654891752233624,0
14,2,60,0.2,12,3.15603250255021,8.84396749744979,0.607404675174711,0
14,2,60,0.25,9,3.34927313986107,5.65072686013893,NA,0
14,2,60,0.3,9,3.34927313986107,5.65072686013893,NA,0
14,2,70,0.15,13,3.10002351933207,9.89997648066793,0.654891752233624,0
14,2,70,0.2,12,3.15603250255021,8.84396749744979,0.607404675174711,0
14,2,70,0.25,9,3.34927313986107,5.65072686013893,NA,0
14,2,70,0.3,9,3.34927313986107,5.65072686013893,NA,0
14,2,80,0.15,12,2.8614595581671,9.13854044183289,0.698623738921952,0
14,2,80,0.2,11,2.91270020543637,8.08729979456363,0.611159765545297,0
14,2,80,0.25,8,3.01681928768964,4.98318071231036,NA,0
14,2,80,0.3,8,3.01681928768964,4.98318071231036,NA,0
14,2,90,0.15,12,2.82074186427383,9.17925813572617,0.718403348890689,0
14,2,90,0.2,9,2.8351168386443,6.1648831613557,0.607239923991714,0
14,2,90,0.25,8,2.96041225315818,5.03958774684182,NA,0
14,2,90,0.3,7,3.04115340399055,3.95884659600945,NA,0
14,2,100,0.15,12,2.82074186427383,9.17925813572617,0.718403348890689,0
14,2,100,0.2,9,2.8351168386443,6.1648831613557,0.607239923991714,0
14,2,100,0.25,8,2.96041225315818,5.03958774684182,NA,0
14,2,100,0.3,7,3.04115340399055,3.95884659600945,NA,0
14,3,20,0.15,41,4.36206283028329,36.6379371697167,NA,0
14,3,20,0.2,31,4.81172497297296,26.188275027027,NA,0
14,3,20,0.25,24,5.04165186510768,18.9583481348923,NA,0
14,3,20,0.3,20,4.80525508672048,15.1947449132795,NA,0
14,3,30,0.15,28,3.80620325136602,24.193796748634,0.692302664847466,0
14,3,30,0.2,20,4.13563831545721,15.8643616845428,NA,0
14,3,30,0.25,18,4.25804908662347,13.7419509133765,NA,0
14,3,30,0.3,16,4.09639906873537,11.9036009312646,NA,0
14,3,40,0.15,21,3.70459247071761,17.2954075292824,NA,0
